,image_id,question,question_id,answer
0,87,Is the boy having wine?,870,yes
1,900000870,Is the boy having wine?,900000870,no
2,14962,Is it night time?,149620,no
3,900149620,Is it night time?,900149620,yes
4,8277,Is the boy hanging from monkey bars?,82771,yes
5,900082771,Is the boy hanging from monkey bars?,900082771,no
6,15675,Is there room on the table for anything else?,156750,yes
7,900156750,Is there room on the table for anything else?,900156750,no
8,10466,Is the boy dangerously close to the fire?,104662,yes
9,900104662,Is the boy dangerously close to the fire?,900104662,no
10,10882,Is there a blue chair at the table?,108821,yes
11,900108821,Is there a blue chair at the table?,900108821,no
12,16397,Is the boy waving to the girl?,163971,yes
13,900163971,Is the boy waving to the girl?,900163971,no
14,11895,Is the kid happy?,118952,yes
15,900118952,Is the kid happy?,900118952,no
16,12630,Are both dogs asleep?,126300,no
17,900126300,Are both dogs asleep?,900126300,yes
18,19935,Can you jump rope?,199352,yes
19,900199352,Can you jump rope?,900199352,no
20,5426,Is the woman going to eat the squirrel?,54262,no
21,900054262,Is the woman going to eat the squirrel?,900054262,yes
22,194,Is the guy playing with his dog near a picture?,1940,yes
23,900001940,Is the guy playing with his dog near a picture?,900001940,no
24,1815,Are there any animals in this picture?,18151,no
25,900018151,Are there any animals in this picture?,900018151,yes
26,7953,Are the toys abandoned?,79531,yes
27,900079531,Are the toys abandoned?,900079531,no
28,1327,Is the turtle in the pond?,13271,no
29,900013271,Is the turtle in the pond?,900013271,yes
30,12858,Will the children fight?,128580,yes
31,900128580,Will the children fight?,900128580,no
32,9808,Is the boy trying to decide where to sit?,98080,yes
33,900098080,Is the boy trying to decide where to sit?,900098080,no
34,13807,Is this mom telling the baby not to play in the sand?,138072,no
35,900138072,Is this mom telling the baby not to play in the sand?,900138072,yes
36,8000,Is the framed picture of modern design?,80002,yes
37,900080002,Is the framed picture of modern design?,900080002,no
38,19701,Is there a pillow on each chair?,197011,no
39,900197011,Is there a pillow on each chair?,900197011,yes
40,13206,Is it raining outside?,132062,no
41,900132062,Is it raining outside?,900132062,yes
42,14145,Is the lady hungry?,141451,yes
43,900141451,Is the lady hungry?,900141451,no
44,3981,Is there a table?,39812,no
45,900039812,Is there a table?,900039812,yes
46,5754,Is the girl seeking solitude?,57540,yes
47,900057540,Is the girl seeking solitude?,900057540,no
48,19946,Is the woman wearing red?,199461,yes
49,900199461,Is the woman wearing red?,900199461,no
50,12967,Is he holding his crotch?,129672,yes
51,900129672,Is he holding his crotch?,900129672,no
52,14201,Is the old man holding wine?,142010,yes
53,900142010,Is the old man holding wine?,900142010,no
54,12754,Is the man dancing with two turtles?,127540,yes
55,900127540,Is the man dancing with two turtles?,900127540,no
56,14339,Is the food on a table?,143392,no
57,900143392,Is the food on a table?,900143392,yes
58,3294,Is the woman likely the child's mother?,32941,no
59,900032941,Is the woman likely the child's mother?,900032941,yes
60,6546,Is the stool all wooden?,65460,yes
61,3916,Is there food in the picture?,39161,yes
62,900039161,Is there food in the picture?,900039161,no
63,841,Are the boy and girl standing on either side of the table?,8410,yes
64,900008410,Are the boy and girl standing on either side of the table?,900008410,no
65,4895,Is the man playing with the dog?,48951,yes
66,900048951,Is the man playing with the dog?,900048951,no
67,1525,Is the TV on?,15251,yes
68,900015251,Is the TV on?,900015251,no
69,13821,Does looking through the window show you the kind of day it is?,138212,yes
70,16522,Will the man holding the ball hit the jump-roping girl?,165222,no
71,900165222,Will the man holding the ball hit the jump-roping girl?,900165222,yes
72,6215,Does the lady seem content?,62152,yes
73,900062152,Does the lady seem content?,900062152,no
74,12049,Is the sky clear?,120491,yes
75,900120491,Is the sky clear?,900120491,no
76,17312,Is the animal in the pond an amphibian?,173122,no
77,900173122,Is the animal in the pond an amphibian?,900173122,yes
78,17278,Is the TV on?,172782,yes
79,900172782,Is the TV on?,900172782,no
80,6488,Is the lady eating something?,64882,yes
81,900064882,Is the lady eating something?,900064882,no
82,18130,Is this woman planning to go swimming?,181300,no
83,900181300,Is this woman planning to go swimming?,900181300,yes
84,17949,Is the woman sitting on the ground?,179492,no
85,900179492,Is the woman sitting on the ground?,900179492,yes
86,16888,Will the dog catch the bone?,168881,yes
87,900168881,Will the dog catch the bone?,900168881,no
88,12560,Are the birds playing?,125602,yes
89,900125602,Are the birds playing?,900125602,no
90,1099,Can the lady likely swim in the pond shown?,10990,no
91,900010990,Can the lady likely swim in the pond shown?,900010990,yes
92,12917,Is there a bird's nest in the tree?,129170,yes
93,900129170,Is there a bird's nest in the tree?,900129170,no
94,19825,Can you see the moon?,198251,yes
